13,1.75,72000.0,26.6,5.0,58.16,998.0,Mumbai,CNG,Manual,First
18,12.5,41000.0,19.6,5.0,126.2,1582.0,Pune,Diesel,Manual,First
14,4.5,46000.0,18.0,5.0,88.7,1199.0,Chennai,Petrol,Manual,First
15,6.0,87000.0,20.7,7.0,88.76,1248.0,Chennai,Diesel,Manual,First
16,17.74,40670.0,15.0,5.0,140.8,1968.0,Coimbatore,Diesel,Automatic,Second
15,2.35,75000.0,21.1,5.0,55.2,814.0,Hyderabad,LPG,Manual,First
16,3.5,86999.0,23.0,5.0,63.1,1461.0,Jaipur,Diesel,Manual,First
19,17.5,36000.0,11.3,8.0,171.5,2755.0,Mumbai,Diesel,Automatic,First
16,5.2,64430.0,20.5,5.0,103.6,1598.0,Pune,Diesel,Manual,First
15,1.95,65932.0,22.0,5.0,74.0,1248.0,Chennai,Diesel,Manual,Second
21,9.95,25692.0,21.5,5.0,103.25,1462.0,Kochi,Petrol,Manual,First
15,4.49,60000.0,16.0,5.0,116.3,1497.0,Kolkata,Petrol,Automatic,First
18,5.6,64424.0,25.0,5.0,74.0,1248.0,Jaipur,Diesel,Manual,First
17,27.0,72000.0,12.0,5.0,187.7,2179.0,Delhi,Diesel,Automatic,First
15,17.5,85000.0,0.0,5.0,115.0,2179.0,Pune,Diesel,Automatic,Second
17,15.0,110000.0,13.0,7.0,175.56,2477.0,Delhi,Diesel,Manual,First
19,5.4,58950.0,25.0,5.0,98.6,1498.0,Kochi,Diesel,Manual,First
20,5.99,25000.0,28.0,5.0,74.0,1248.0,Jaipur,Diesel,Manual,First
17,6.34,77469.0,20.4,5.0,83.8,1461.0,Kochi,Diesel,Manual,First
17,28.0,78500.0,14.8,5.0,167.62,2143.0,Bangalore,Diesel,Automatic,First
17,18.55,32982.0,22.6,5.0,190.0,1995.0,Kochi,Diesel,Automatic,First
18,8.25,55392.0,23.6,5.0,88.5,1248.0,Bangalore,Diesel,Manual,Second
18,23.5,55985.0,13.5,5.0,177.01,1984.0,Mumbai,Petrol,Automatic,First
13,1.87,45807.0,18.0,5.0,80.0,1197.0,Kolkata,Petrol,Manual,First
13,2.85,33000.0,14.0,5.0,103.6,1598.0,Kolkata,Petrol,Automatic,First
15,4.25,51920.0,16.0,5.0,116.3,1497.0,Mumbai,Petrol,Manual,First
15,4.25,54000.0,23.0,5.0,63.1,1461.0,Hyderabad,Diesel,Manual,First
16,2.75,54000.0,20.9,5.0,67.1,998.0,Hyderabad,Petrol,Manual,Second
21,9.9,37430.0,17.0,5.0,88.7,1199.0,Kochi,Petrol,Manual,First
10,4.0,262000.0,12.0,7.0,102.0,2494.0,Mumbai,Diesel,Manual,Fourth & Above
16,7.75,62000.0,19.0,5.0,108.45,1461.0,Bangalore,Diesel,Manual,First
15,6.75,87615.0,14.5,5.0,138.1,1798.0,Delhi,Petrol,Manual,First
16,12.5,72000.0,11.1,7.0,184.0,2696.0,Bangalore,Diesel,Automatic,Second
13,11.5,35000.0,12.0,5.0,179.5,2698.0,Kolkata,Diesel,Automatic,First
17,6.98,55431.0,16.0,5.0,103.5,1598.0,Coimbatore,Petrol,Manual,Second
12,1.85,83816.0,14.0,5.0,64.0,1061.0,Jaipur,Petrol,Manual,Second
21,8.63,50075.0,24.0,5.0,88.5,1248.0,Kochi,Diesel,Manual,First
20,4.85,52000.0,18.1,5.0,82.0,1198.0,Delhi,Petrol,Manual,First
16,28.0,85000.0,11.7,5.0,254.8,2987.0,Pune,Diesel,Automatic,First
16,5.0,62000.0,22.0,5.0,73.9,1199.0,Chennai,Diesel,Manual,First
11,1.25,90000.0,19.0,5.0,46.3,796.0,Delhi,Petrol,Manual,Second
17,1.53,19698.0,25.0,4.0,37.5,624.0,Kochi,Petrol,Manual,First
20,5.58,22033.0,25.3,6.0,77.0,1198.0,Coimbatore,Diesel,Manual,First
17,4.74,35487.0,18.0,5.0,82.9,1197.0,Kochi,Petrol,Manual,First
17,8.85,46374.0,14.6,5.0,149.92,1999.0,Bangalore,Petrol,Automatic,First
19,10.11,52001.0,14.2,5.0,138.03,1798.0,Mumbai,Petrol,Automatic,First
11,4.25,58005.0,14.0,5.0,112.2,1991.0,Ahmedabad,Diesel,Manual,Second
15,10.95,70704.0,11.2,7.0,163.7,2694.0,Bangalore,Petrol,Manual,First
17,3.85,75000.0,24.0,5.0,71.0,1120.0,Jaipur,Diesel,Manual,First
